"MacBookPro14,1",MPXQ2LL/A,9253,2.3 GHz Core i5 (I5-7360U),Intel Iris Plus Graphics 640,2017,,61W  USB C,A1708,3164,13.3,A1713
"MacBookPro14,1",MPXQ2LL/A BTO,9254,2.5 GHz Core i7 (I7-7660U),Intel Iris Plus Graphics 650,2017,,61W  USB C,A1708,3164,13.3,A1713
"MacBookPro14,2",MPXV2LL/A,9255,3.1 GHz Core i5 (I5-7267U),Intel Iris Plus Graphics 650,2017,,61W  USB C,A1706,3163,13.3,A1819
"MacBookPro14,2",MPXV2LL/A BTO 3.3,9256,3.3 GHz Core i5 (I5-7287U),Intel Iris Plus Graphics 650,2017,,61W  USB C,A1706,3163,13.3,A1819
"MacBookPro14,2",MPXV2LL/A BTO 3.5,9257,3.5 GHz Core i7 (I7-7567U),Intel Iris Plus Graphics 650,2017,,61W  USB C,A1706,3163,13.3,A1819
"MacBookPro14,3",MPTR2LL/A,9258,2.8 GHz Core i7 (I7-7700HQ),AMD Radeon Pro 555,2017,Intel HD Graphics 630,85W USB C,A1707,3162,15.4,A1820
"MacBookPro14,3",MPTR2LL/A BTO,9259,3.1 GHz Core i7 (I7-7920HQ),AMD Radeon Pro 555,2017,Intel HD Graphics 630,85W USB C,A1707,3162,15.4,A1820
"MacBookPro14,3",MPTT2LL/A BTO,9260,3.1 GHz Core i7 (I7-7920HQ),AMD Radeon Pro 560,2017,Intel HD Graphics 630,85W USB C,A1707,3162,15.4,A1820
"MacBookPro14,3",MPTT2LL/A,9261,2.9 GHz Core i7 (I7-7820HQ),AMD Radeon Pro 560,2017,Intel HD Graphics 630,85W USB C,A1707,3162,15.4,A1820
"MacBookPro15,3",MV912LL/A BTO 2.4 Vega 20,9262,2.4 GHz Core i9 (I9-9980HK),AMD Radeon Pro Vega 20,2019,Intel UHD Graphics 630,85W USB C,A1990,3359,15.4,A1953
