"MacBookPro8,2",I7-2720QM,AMD Radeon HD 6750M,
"MacBookPro8,3",I7-2720QM,AMD Radeon HD 6750M,
"MacBookPro8,3",I7-2820QM,AMD Radeon HD 6750M,
"MacBookPro8,2",I7-2820QM,AMD Radeon HD 6750M,
"MacBookPro9,1",I7-3820QM,NVIDIA GeForce GT 650M,
"MacBookPro16,2",I5-1038NG7,Intel Iris Plus,
"MacBookPro16,2",I7-1068NG7,Intel Iris Plus,
"MacBook8,1",1.1 GHz Core M (M-5Y31),Intel HD Graphics 5300,
"MacBook8,1",1.2 GHz Core M (M-5Y51),Intel HD Graphics 5300,
"MacBook8,1",1.3 GHz Core M (M-5Y71),Intel HD Graphics 530,
"MacBook9,1",1.1 GHz Core m3 (M3-6Y30),Intel HD Graphics 515,
"MacBook9,1",1.2 GHz Core m5 (M5-6Y54),Intel HD Graphics 515,
"MacBook9,1",1.3 GHz Core m7 (M7-6Y75),Intel HD Graphics 515,
"MacBook10,1",1.2 GHz Core m3 (M3-7Y32),Intel HD Graphics 615,
"MacBook10,1",I5-7Y54,Intel HD Graphics 615,
"MacBook10,1",I7-7Y75,Intel HD Graphics 615,
"iMac11,1",I5-750,ATI Radeon HD 4850,
"iMac11,1",I7-860,ATI Radeon HD 4850,
"iMac11,2",I3-540,ATI Radeon HD 4670,
"iMac11,2",I3-550,ATI Radeon HD 5670,
"iMac11,2",I5-680,ATI Radeon HD 5670,
"iMac11,3",I3-550,ATI Radeon HD 5670,
"iMac11,3",I5-760,ATI Radeon HD 5750,
"iMac11,3",I5-680,ATI Radeon HD 5670,
"iMac11,3",I7-870,ATI Radeon HD 5750,
"iMac12,1",I5-2400S,AMD Radeon HD 6750M,
"iMac12,1",I5-2500S,AMD Radeon HD 6770M,
"iMac12,1",I7-2600S,AMD Radeon HD 6770M,
"iMac12,2",I5-2500S,AMD Radeon HD 6770M,
"iMac12,2",I5-2400,AMD Radeon HD 6970M,
"iMac12,2",I7-2600,AMD Radeon HD 6970M,
"iMac12,1",I3-2100,AMD Radeon HD 6750M,
"iMac13,1",I5-3330S,NVIDIA GeForce GT 640M,
"iMac13,1",I5-3470S,NVIDIA GeForce GT 650M,
"iMac13,1",I7-3770S,NVIDIA GeForce GT 650M,
"iMac13,2",I5-3470S,NVIDIA GeForce GTX 660M,
"iMac13,2",I5-3470,NVIDIA GeForce GTX 675MX,
"iMac13,2",I7-3770,NVIDIA GeForce GTX 675MX,
"iMac13,1",I3-3225,Intel HD Graphics 4000,
"iMac14,1",I5-4570R,Intel Iris Pro 5200,
"iMac14,3",I5-4570S,NVIDIA GeForce GT 750M,
"iMac14,3",I7-4770S,NVIDIA GeForce GT 750M,
"iMac14,2",I5-4570,NVIDIA GeForce GT 755M,
"iMac14,2",I5-4670,NVIDIA GeForce GTX 775M,
"iMac14,2",I7-4771,NVIDIA GeForce GTX 775M,
"iMac14,4",I5-4260U,Intel HD Graphics 5000,
"iMac15,1",I5-4690,AMD Radeon R9 M290X,
"iMac15,1",I7-4790K,AMD Radeon R9 M290X,
"iMac15,1",I5-4590,AMD Radeon R9 M290,
"iMac16,1",I5-5250U,Intel HD Graphics 6000,
"iMac16,2",I5-5575R,Intel Iris Pro 6200,
"iMac16,2",I5-5675R,Intel Iris Pro 6200,
"iMac16,2",I7-5775R,Intel Iris Pro 6200,
"iMac17,1",I5-6500,AMD Radeon R9 M380 or AMD Radeon R9 M390,
"iMac17,1",I5-6600,AMD Radeon R9 M395,
"iMac17,1",I7-6700K,AMD Radeon R9 M390 or AMD Radeon R9 M395,
"iMac18,1",I5-7360U,Intel Iris Plus Graphics 640,
"iMac18,2",I5-7400,AMD Radeon Pro 555,
"iMac18,2",I5-7500,AMD Radeon Pro 560,
"iMac18,2",I7-7700,AMD Radeon Pro 555 or 560,
"iMac18,3",I5-7500,AMD Radeon Pro 570,
"iMac18,3",I5-7600,AMD Radeon Pro 575,
"iMac18,3",I5-7600K,AMD Radeon Pro 580,
"iMac18,3",I7-7700K,AMD Radeon Pro 575,
"iMac19,2",I7-8700,AMD Radeon Pro 555X or Radeon Pro 560X,
"iMac19,1",I5-8500,AMD Radeon Pro 570X,
"iMac19,1",I5-8600,AMD Radeon Pro 575X,
